,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7451,0.6744,0.4286,0.1364,0.2069,0.2033,0.9062
0_1,0.7454,0.7181,0.5455,0.1333,0.2143,0.2267,0.8804
0_2,0.818,0.708,0.5,0.1549,0.2366,0.2399,0.9035
0_3,0.8395,0.7485,0.5909,0.1625,0.2549,0.2719,0.8967
0_4,0.8487,0.7157,0.5238,0.1429,0.2245,0.2347,0.8966
0_5,0.6902,0.5777,0.2381,0.0781,0.1176,0.0919,0.898
0_6,0.7721,0.7024,0.4762,0.1639,0.2439,0.2444,0.9156
0_7,0.7144,0.6863,0.4762,0.119,0.1905,0.1951,0.8844
0_8,0.8625,0.6996,0.4762,0.1538,0.2326,0.2342,0.9102
0_9,0.8128,0.7584,0.619,0.1512,0.243,0.2679,0.8898
0_Mean,0.7849,0.6989,0.4874,0.1396,0.2165,0.221,0.8982
0_SD,0.0598,0.0497,0.1048,0.0257,0.0397,0.0514,0.0112
Mean,0.7849,0.6989,0.4875,0.1396,0.2165,0.221,0.8981
SD,0.0598,0.0497,0.1048,0.0257,0.0397,0.0514,0.0112
