,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7102,0.6899,0.5263,0.0794,0.1379,0.1586,0.8459
0_1,0.7538,0.7257,0.5789,0.0982,0.1679,0.1979,0.8656
0_2,0.767,0.764,0.6316,0.1277,0.2124,0.2495,0.8903
0_3,0.7671,0.6926,0.5,0.09,0.1525,0.1726,0.8765
0_4,0.8182,0.8024,0.7222,0.1226,0.2097,0.2643,0.879
0_5,0.7597,0.7645,0.6111,0.1447,0.234,0.2674,0.9111
0_6,0.817,0.7399,0.6111,0.0957,0.1654,0.2026,0.863
0_7,0.7323,0.69,0.5,0.0865,0.1475,0.1675,0.8716
0_8,0.836,0.7412,0.6111,0.0973,0.1679,0.2052,0.8654
0_9,0.8141,0.7865,0.6842,0.1287,0.2167,0.2625,0.884
0_Mean,0.7775,0.7397,0.5977,0.1071,0.1812,0.2148,0.8752
0_SD,0.0417,0.0404,0.0739,0.022,0.0338,0.0427,0.0177
Mean,0.7775,0.7397,0.5976,0.1071,0.1812,0.2148,0.8752
SD,0.0417,0.0404,0.0739,0.0219,0.0338,0.0427,0.0177
