,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6931,0.6076,0.2439,0.3125,0.274,0.2422,0.9344
0_1,0.6209,0.5697,0.1707,0.2258,0.1944,0.1593,0.9282
0_2,0.7051,0.6686,0.375,0.3409,0.3571,0.3223,0.9331
0_3,0.7096,0.5889,0.2,0.32,0.2462,0.2228,0.9393
0_4,0.6453,0.6134,0.275,0.2292,0.25,0.2081,0.9182
0_5,0.7364,0.6311,0.3,0.2927,0.2963,0.2591,0.9294
0_6,0.7321,0.6416,0.325,0.2889,0.3059,0.268,0.9269
0_7,0.6609,0.6469,0.325,0.3514,0.3377,0.3048,0.9368
0_8,0.7048,0.6732,0.375,0.4054,0.3896,0.3594,0.9418
0_9,0.6706,0.6339,0.2927,0.3871,0.3333,0.3061,0.9405
0_Mean,0.6879,0.6275,0.2882,0.3154,0.2984,0.2652,0.9329
0_SD,0.0376,0.033,0.068,0.0595,0.0588,0.0598,0.0073
Mean,0.6879,0.6275,0.2882,0.3154,0.2984,0.2652,0.9329
SD,0.0376,0.0331,0.068,0.0595,0.0588,0.0598,0.0073
