,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7479,0.1702,0.6604,0.625,0.0965,,0.1672,0.149,0.6922,25,535,234,15
0_1,0.7727,0.2009,0.7151,0.75,0.1087,,0.1899,0.1967,0.6836,30,523,246,10
0_2,0.7265,0.143,0.7033,0.7073,0.1115,,0.1927,0.1909,0.6996,29,537,231,12
0_3,0.7032,0.1857,0.6756,0.6585,0.1027,,0.1776,0.1645,0.691,27,532,236,14
0_4,0.6561,0.0871,0.6499,0.6098,0.0951,,0.1645,0.1404,0.686,25,530,238,16
0_5,0.7136,0.1014,0.6893,0.725,0.0983,,0.1731,0.1706,0.6572,29,502,266,11
0_6,0.7174,0.1492,0.6827,0.7,0.0982,,0.1723,0.1659,0.6671,28,511,257,12
0_7,0.8003,0.1537,0.7681,0.85,0.1236,,0.2159,0.2455,0.6943,34,527,241,6
0_8,0.7223,0.1235,0.6663,0.675,0.0931,,0.1636,0.1504,0.6584,27,505,263,13
0_9,0.7023,0.1505,0.6746,0.65,0.1012,,0.1751,0.1627,0.6968,26,537,231,14
0_Mean,0.7262,0.1465,0.6885,0.6951,0.1029,,0.1792,0.1737,0.6826,28.0,523.9,244.3,12.3
0_SD,0.04,0.0353,0.034,0.07,0.0093,,0.0161,0.0308,0.0159,2.70801280154532,13.261891938097587,13.182901383568371,2.8693785622209793
Mean,0.7262,0.1465,0.6885,0.6951,0.1029,,0.1792,0.1737,0.6826,28.0,523.9,244.3,12.3
SD,0.04,0.0353,0.034,0.07,0.0093,,0.0162,0.0308,0.0159,2.708,13.2619,13.1829,2.8694
