,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7383,0.6615,0.5417,0.65,0.5909,0.3335,0.6786
0_1,0.7277,0.6948,0.68,0.6538,0.6667,0.3884,0.6964
0_2,0.7419,0.731,0.72,0.6923,0.7059,0.4605,0.7321
0_3,0.7135,0.5865,0.56,0.5385,0.549,0.1723,0.5893
0_4,0.729,0.6748,0.64,0.64,0.64,0.3497,0.6786
0_5,0.7297,0.6026,0.56,0.56,0.56,0.2052,0.6071
0_6,0.6387,0.6187,0.56,0.5833,0.5714,0.2385,0.625
0_7,0.7406,0.6465,0.68,0.5862,0.6296,0.2914,0.6429
0_8,0.797,0.6949,0.5833,0.7,0.6364,0.4018,0.7091
0_9,0.6438,0.584,0.4583,0.55,0.5,0.1732,0.6
0_Mean,0.72,0.6495,0.5983,0.6154,0.605,0.3015,0.6559
0_SD,0.047,0.0505,0.0798,0.0592,0.0617,0.1015,0.0499
Mean,0.72,0.6495,0.5983,0.6154,0.605,0.3014,0.6559
SD,0.047,0.0505,0.0798,0.0592,0.0618,0.1015,0.0499
