,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6454,0.1823,0.6252,0.375,0.1351,,0.1987,0.1578,0.8508,15,675,96,25
0_1,0.7511,0.3165,0.7278,0.575,0.2,,0.2968,0.2829,0.8656,23,679,92,17
0_2,0.6099,0.1423,0.5905,0.325,0.1048,,0.1585,0.1089,0.8298,13,660,111,27
0_3,0.639,0.1923,0.6181,0.375,0.123,,0.1852,0.1431,0.8372,15,664,107,25
0_4,0.6029,0.1601,0.5839,0.3,0.1053,,0.1558,0.1045,0.8397,12,669,102,28
0_5,0.7098,0.2156,0.7118,0.5366,0.2018,,0.2933,0.2721,0.8693,22,683,87,19
0_6,0.72,0.2219,0.6739,0.4634,0.1759,,0.255,0.2243,0.8631,19,681,89,22
0_7,0.7609,0.2072,0.658,0.4146,0.1828,,0.2537,0.2172,0.8767,17,694,76,24
0_8,0.7224,0.189,0.6338,0.4,0.1356,,0.2025,0.1643,0.8444,16,668,102,24
0_9,0.6742,0.221,0.6516,0.45,0.1374,,0.2105,0.1784,0.8333,18,657,113,22
0_Mean,0.6836,0.2048,0.6475,0.4215,0.1502,,0.221,0.1854,0.851,17.0,673.0,97.5,23.3
0_SD,0.0573,0.0471,0.0474,0.0871,0.037,,0.0512,0.0623,0.0166,3.5901098714230026,11.508451001088046,11.692827811193588,3.4009802508492557
Mean,0.6836,0.2048,0.6475,0.4215,0.1502,,0.221,0.1853,0.851,17.0,673.0,97.5,23.3
SD,0.0573,0.0471,0.0474,0.0871,0.037,,0.0512,0.0624,0.0166,3.5901,11.5085,11.6928,3.401
