,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.6418,0.3191,0.5876,0.5306,0.0881,,0.1512,0.0869,0.6377,26,488,269,23
0_1,0.6338,0.3261,0.5807,0.551,0.0839,,0.1456,0.0787,0.6067,27,462,295,22
0_2,0.6107,0.3344,0.6031,0.5918,0.0903,,0.1568,0.1006,0.6129,29,465,292,20
0_3,0.6352,0.3172,0.5784,0.5306,0.0841,,0.1453,0.077,0.6203,26,474,283,23
0_4,0.6485,0.3486,0.5948,0.5714,0.0883,,0.153,0.0928,0.6154,28,468,289,21
0_5,0.585,0.285,0.5409,0.4583,0.0717,,0.1239,0.0399,0.6137,22,472,285,26
0_6,0.6577,0.3639,0.6261,0.6458,0.0942,,0.1645,0.1215,0.6087,31,459,298,17
0_7,0.6495,0.3635,0.6289,0.625,0.0974,,0.1685,0.1256,0.6323,30,479,278,18
0_8,0.63,0.3002,0.554,0.4792,0.0757,,0.1307,0.0527,0.6199,23,476,281,25
0_9,0.5789,0.2952,0.5664,0.5,0.0795,,0.1371,0.0649,0.6248,24,479,278,24
0_Mean,0.6271,0.3253,0.5861,0.5484,0.0853,,0.1476,0.0841,0.6192,26.6,472.2,284.8,21.9
0_SD,0.0271,0.0276,0.0286,0.0612,0.0081,,0.0142,0.0276,0.01,2.988868236194653,8.866917289691058,8.866917289691058,2.923088169119167
Mean,0.6271,0.3253,0.5861,0.5484,0.0853,,0.1477,0.0841,0.6192,26.6,472.2,284.8,21.9
SD,0.0271,0.0276,0.0286,0.0612,0.008,,0.0142,0.0276,0.01,2.9889,8.8669,8.8669,2.9231
