,Inside,AUC_ROC,AUC_PR,F1,B_A,Precision,Recall,Specificity,TP,TN,FP,FN,Outside,AUC_ROC_o,AUC_PR_o,F1_o,B_A_o,Precision_o,Recall_o,Specificity_o,TP_o,TN_o,FP_o,FN_o
TOX21_VDR_BLA_agonist_ratio,700.0,0.6489971346704871,0.0049877899877899,0.0,0.5,0.0,0.0,1.0,0.0,698.0,0.0,2.0,36.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,36.0,0.0,0.0
TOX21_VDR_BLA_antagonist_ratio,713.0,0.9389671361502347,0.0751509661835748,0.0,0.5,0.0,0.0,1.0,0.0,710.0,0.0,3.0,23.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,23.0,0.0,0.0
TOX21_HSE_BLA_agonist_ratio,730.0,0.7780470914127424,0.1109965827543829,0.2666666666666666,0.6215373961218836,0.2857142857142857,0.25,0.9930747922437672,2.0,717.0,5.0,6.0,3.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,3.0,0.0,0.0
TOX21_ESRE_BLA_ratio,718.0,0.9249417249417248,0.6719529677721721,0.8,0.8333333333333333,1.0,0.6666666666666666,1.0,2.0,715.0,0.0,1.0,16.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,16.0,0.0,0.0
TOX21_FXR_BLA_agonist_ratio,696.0,0.9524495677233428,0.0227272727272727,0.0,0.4985590778097982,0.0,0.0,0.9971181556195964,0.0,692.0,2.0,2.0,40.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,40.0,0.0,0.0
TOX21_FXR_BLA_antagonist_ratio,701.0,0.6245527728085867,0.0743448553128208,0.0,0.4978197674418604,0.0,0.0,0.9956395348837208,0.0,685.0,3.0,13.0,33.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,33.0,0.0,0.0
TOX21_ARE_BLA_agonist_ratio,702.0,0.701876130198915,0.2134088412995919,0.2553191489361702,0.5866410488245931,0.2535211267605634,0.2571428571428571,0.9161392405063292,18.0,579.0,53.0,52.0,24.0,0.0,0.0,0.0,0.4791666666666667,0.0,0.0,0.9583333333333334,0.0,23.0,1.0,0.0
TOX21_PPARd_BLA_agonist_ratio,714.0,0.993202062822316,0.4761904761904761,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,711.0,0.0,2.0,20.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,20.0,0.0,0.0
TOX21_PPARd_BLA_antagonist_ratio,721.0,0.7235273492286114,0.1254768478187596,0.3076923076923077,0.6228962131837308,0.4,0.25,0.9957924263674616,2.0,710.0,3.0,6.0,13.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,13.0,0.0,0.0
TOX21_PPARg_BLA_antagonist_ratio,725.0,0.8440205627705628,0.1782301050362174,0.1176470588235294,0.5398065476190477,0.1538461538461538,0.0952380952380952,0.984375,2.0,693.0,11.0,19.0,7.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,7.0,0.0,0.0
