,AUC,AUC_PR,B_A,Recall,Precision,Specificity,F1,MCC,Accuracy,TP,TN,FP,FN
0_0,0.7805,0.4086,0.7183,0.5161,0.2051,,0.2936,0.2839,0.9049,16,717,62,15
0_1,0.8115,0.4373,0.7512,0.5806,0.2278,,0.3273,0.3248,0.9086,18,718,61,13
0_2,0.7932,0.4422,0.748,0.5806,0.2143,,0.313,0.3121,0.9025,18,713,66,13
0_3,0.7974,0.4079,0.7525,0.5806,0.2338,,0.3333,0.3303,0.9111,18,720,59,13
0_4,0.8076,0.4744,0.7442,0.5667,0.2179,,0.3148,0.3127,0.9085,17,718,61,13
0_5,0.6816,0.309,0.6827,0.4516,0.1728,,0.25,0.2337,0.8962,14,711,67,17
0_6,0.7102,0.414,0.6789,0.4516,0.1609,,0.2373,0.2217,0.8888,14,705,73,17
0_7,0.7841,0.27,0.7066,0.4839,0.2143,,0.297,0.2821,0.9122,15,723,55,16
0_8,0.7543,0.5057,0.7291,0.5161,0.2623,,0.3478,0.3332,0.9258,16,733,45,15
0_9,0.8105,0.4863,0.7395,0.5484,0.2394,,0.3333,0.325,0.9159,17,724,54,14
0_Mean,0.7731,0.4155,0.7251,0.5276,0.2149,,0.3048,0.2959,0.9075,16.3,718.2,60.3,14.6
0_SD,0.0446,0.0749,0.0276,0.0518,0.0301,,0.0364,0.0401,0.0103,1.5670212364724212,7.699927849589819,7.789594198530356,1.6465452046971292
Mean,0.7731,0.4155,0.7251,0.5276,0.2149,,0.3047,0.296,0.9074,16.3,718.2,60.3,14.6
SD,0.0446,0.0749,0.0276,0.0518,0.0301,,0.0364,0.0402,0.0103,1.567,7.6999,7.7896,1.6465
